Name,Comment,Class,Date,Time,Duration,Reference,Pass/Fail,Grade,GPS,Additional Information,H,+/-,He,+/-,Li,+/-,Be,+/-,B,+/-,C,+/-,N,+/-,O,+/-,F,+/-,Ne,+/-,Na,+/-,Mg,+/-,Al,+/-,Si,+/-,P,+/-,S,+/-,Cl,+/-,Ar,+/-,K,+/-,Ca,+/-,Sc,+/-,Ti,+/-,V,+/-,Cr,+/-,Mn,+/-,Fe,+/-,Co,+/-,Ni,+/-,Cu,+/-,Zn,+/-,Ga,+/-,Ge,+/-,As,+/-,Se,+/-,Br,+/-,Kr,+/-,Rb,+/-,Sr,+/-,Y,+/-,Zr,+/-,Nb,+/-,Mo,+/-,Tc,+/-,Ru,+/-,Rh,+/-,Pd,+/-,Ag,+/-,Cd,+/-,In,+/-,Sn,+/-,Sb,+/-,Te,+/-,I,+/-,Xe,+/-,Cs,+/-,Ba,+/-,La,+/-,Ce,+/-,Pr,+/-,Nd,+/-,Pm,+/-,Sm,+/-,Eu,+/-,Gd,+/-,Tb,+/-,Dy,+/-,Ho,+/-,Er,+/-,Tm,+/-,Yb,+/-,Lu,+/-,Hf,+/-,Ta,+/-,W,+/-,Re,+/-,Os,+/-,Ir,+/-,Pt,+/-,Au,+/-,Hg,+/-,Tl,+/-,Pb,+/-,Bi,+/-,Po,+/-,At,+/-,Rn,+/-,Fr,+/-,Ra,+/-,Ac,+/-,Th,+/-,Pa,+/-,U,+/-,Np,+/-,Pu,+/-,Am,+/-,Cm,+/-,Bk,+/-,Cf,+/-,Es,+/-,Fm,+/-,Md,+/-,No,+/-,Lr,+/-,d1,+/-,d2,+/-,d3,+/-,d4,+/-,d5,+/-,d6,+/-,BS,+/-,UN,+/-
A02.3,,Mining_MidS_FP,1.1.2011,12:17:36,30.5000,,,Al-380(1.5048) Al-6262(1.6881) Al-5056(1.7426),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8107,0.0967,,,,,0.2615,0.0179,,,0.0162,0.0040,0.0540,0.0034,5.0096,0.0176,,,0.0102,0.0009,0.0444,0.0012,0.0830,0.0013,,,,,2.1164,0.0042,0.0017,0.0003,,,,,0.0186,0.0004,0.0069,0.0004,0.0026,0.0004,0.0249,0.0005,0.0014,0.0004,,,,,,,,,,,,,,,,,0.0113,0.0027,0.0160,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0112,0.0017,,,,,,,,,,,0.0032,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02.3,Average,Mining Mode,1.1.2011,12:17:36,30.5010,,,Al-380(1.4883) Al-6262(1.6676) Al-5056(1.7301),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7211,0.3192,0.0454,0.0556,,,0.8606,1.1953,,,0.0137,0.0076,0.0567,0.0057,4.9766,0.2243,,,0.0090,0.0011,0.0444,0.0020,0.0769,0.0066,,,,,2.0522,0.0825,0.0012,0.0006,,,,,0.0184,0.0012,0.0067,0.0002,0.0021,0.0004,0.0243,0.0010,0.0018,0.0002,0.0010,0.0012,,,,,,,,,,,,,,,0.0068,0.0058,0.0156,0.0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0130,0.0015,,,,,,,,,,,0.0031,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03.2,,Mining_MidS_FP,1.1.2011,12:20:12,30.5000,,,Al-380(1.1165) Al-6262(1.3887) Al-5056(1.4496),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3777,0.0929,,,,,0.2093,0.0165,,,,,0.0397,0.0030,4.2330,0.0161,,,0.0073,0.0009,0.0355,0.0011,0.0630,0.0011,,,,,1.7712,0.0038,0.0011,0.0003,,,,,0.0160,0.0004,0.0052,0.0003,0.0011,0.0003,0.0208,0.0004,0.0021,0.0004,0.0022,0.0004,,,,,,,,,,,,,,,,,0.0122,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0109,0.0015,,,,,,,,,,,0.0034,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03.2,,Mining_MidS_FP,1.1.2011,12:21:27,30.5000,,,Al-380(1.5131) Al-6262(1.6971) Al-5056(1.7489),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7342,0.0951,0.1080,0.0352,,,0.2686,0.0145,,,0.0160,0.0038,0.0562,0.0033,5.0484,0.0176,,,0.0117,0.0009,0.0408,0.0012,0.0737,0.0013,,,,,1.9767,0.0041,,,,,,,0.0169,0.0004,0.0060,0.0003,0.0015,0.0003,0.0217,0.0005,0.0016,0.0004,,,,,,,,,,,,,,,,,0.0083,0.0024,0.0128,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0090,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03.2,,Mining_MidS_FP,1.1.2011,12:22:21,30.5000,,,Al-380(1.4549) Al-6262(1.6412) Al-5056(1.7049),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6131,0.0962,,,,,0.2304,0.0174,,,0.0140,0.0040,0.0565,0.0034,4.9099,0.0174,,,0.0083,0.0009,0.0380,0.0011,0.0718,0.0012,,,,,2.0555,0.0041,,,,,,,0.0178,0.0004,0.0070,0.0003,0.0024,0.0004,0.0277,0.0005,,,,,,,,,,,,,,,,,,,0.0095,0.0027,0.0152,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,0.0016,,,,,,,,,,,0.0030,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03.2,,Mining_MidS_FP,1.1.2011,12:23:24,30.5010,,,Al-380(1.5653) Al-6262(1.7433) Al-5056(1.7883),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0020,0.0978,,,,,0.2858,0.0152,,,0.0192,0.0040,0.0577,0.0034,5.1306,0.0179,,,0.0100,0.0010,0.0441,0.0012,0.0775,0.0013,,,,,2.1650,0.0043,0.0019,0.0003,,,,,0.0191,0.0004,0.0069,0.0004,0.0029,0.0004,0.0284,0.0005,0.0014,0.0004,,,,,,,,,,,,,,,,,0.0154,0.0027,0.0211,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0138,0.0016,,,,,,,,,,,0.0052,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03.2,,Mining_Sn_FP,1.1.2011,12:24:37,30.5010,,,Al-380(0.5392) Al-6262(0.9683) Al-5056(1.0139),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1362,0.0120,,,,,0.0273,0.0023,3.0785,0.0124,,,0.0049,0.0007,0.0235,0.0008,0.0431,0.0009,,,,,1.2525,0.0028,,,,,,,0.0096,0.0003,0.0040,0.0003,0.0011,0.0003,0.0141,0.0003,0.0010,0.0003,0.0016,0.0003,,,,,,,,,,,,,,,0.0058,0.0019,0.0084,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051,0.0011,,,,,,,,,,,0.0020,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03.2,Average,Mining Mode,1.1.2011,12:24:36,30.5000,,,Al-380(1.2400) Al-6262(1.4832) Al-5056(1.5426),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3454,0.7021,0.0216,0.0432,,,0.2261,0.0524,,,0.0098,0.0082,0.0475,0.0121,4.4801,0.7690,,,0.0084,0.0023,0.0364,0.0070,0.0658,0.0123,,,,,1.8442,0.3227,0.0006,0.0008,,,,,0.0159,0.0033,0.0058,0.0011,0.0018,0.0007,0.0225,0.0052,0.0012,0.0007,0.0008,0.0010,,,,,,,,,,,,,,,0.0078,0.0050,0.0140,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0104,0.0032,,,,,,,,,,,0.0027,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04.3,,Mining_MidS_FP,1.1.2011,12:26:29,30.5000,,,Al-380(1.5770) Al-6262(1.7525) Al-5056(1.7972),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6234,0.0957,,,,,0.2872,0.0181,,,0.0134,0.0039,0.0552,0.0033,5.1539,0.0178,0.0080,0.0023,0.0114,0.0009,0.0438,0.0012,0.0753,0.0013,,,,,2.1630,0.0043,,,,,,,0.0189,0.0004,0.0075,0.0004,0.0019,0.0004,0.0270,0.0005,0.0019,0.0004,0.0016,0.0005,,,,,,,,,,,,,,,0.0115,0.0027,0.0154,0.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04.3,,Mining_MidS_FP,1.1.2011,12:27:31,30.5000,,,Al-380(1.5853) Al-5056(1.8038) Al-5005(1.9993),,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6580,0.0931,,,,,2.9853,0.0364,,,,,0.0467,0.0034,5.1707,0.0184,,,0.0091,0.0010,0.0441,0.0013,0.0775,0.0013,,,,,2.2557,0.0045,,,,,,,0.0203,0.0004,0.0068,0.0004,0.0025,0.0004,0.0275,0.0005,0.0021,0.0005,,,,,,,,,,,,,,,,,,,0.0134,0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0112,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
